Código;Nombre;Marca;Nombre marca;Familia;Nombre familia;;;;;;;;;
100;MAXIPECHUGA PAVO BD CAMPOFRIO;;;AA004;-004-VARIOS;;;;;;;;;
117;MAZA JAMON FRESCO;;;AA007;-007-DESPIECE FRESCO;;;;;;;;;
2081;MEMBRILLO;;;AA004;-004-VARIOS;;;;;;;;;
789;MIEL ARTESANA;;;AA004;-004-VARIOS;;;;;;;;;
1140;MIGAS BACALAO;;;AA004;-004-VARIOS;;;;;;;;;
151;MOLLEJAS DE LECHAZO;;;AA007;-007-DESPIECE FRESCO;;;;;;;;;
4000002;MOLLEJAS DE POLLO;;;AAAA9;-9-AVES;;;;;;;;;
319;MOLLEJAS DE TERNERA 1ª;;;AA007;-007-DESPIECE FRESCO;;;;;;;;;
00011;MOLLEJAS GUISADAS;;;AA008;-008-PRECOCINADOS;;;;;;;;;
05005;MOLLEJAS T/ZAMORANA 600GR.;;;AA008;-008-PRECOCINADOS;;;;;;;;;
229;MORCILLAS D/P;;;AA002;-002-EMBUTIDOS;;;;;;;;;
225;MORCILLAS DE ARROZ;;;AA002;-002-EMBUTIDOS;;;;;;;;;
224;MORCILLAS PAFER S/V;;;AA002;-002-EMBUTIDOS;;;;;;;;;
121;MORCILLOS DE TERNERA;;;AA004;-004-VARIOS;;;;;;;;;
009;MORCON BELLOTA IBERICO;;;AA002;-002-EMBUTIDOS;;;;;;;;;
316;MORRO C/PIM.Y TOMA.(600gr);;;AA008;-008-PRECOCINADOS;;;;;;;;;
00002;MORRO CERDO 1/2K.BANDEJA;;;AA004;-004-VARIOS;;;;;;;;;
00012;MORRO GUISADO;;;AA008;-008-PRECOCINADOS;;;;;;;;;
113;MORROS COCIDOS;;;AA008;-008-PRECOCINADOS;;;;;;;;;
1130;MORROS DE TERNERA;;;AA007;-007-DESPIECE FRESCO;;;;;;;;;
206;MORTADELA ARGAL;;;AA003;-003-FIAMBRES;;;;;;;;;
2033;MORTADELA BIG BOLOGNA;;;AA003;-003-FIAMBRES;;;;;;;;;
227;MORTADELA C/A;;;AA003;-003-FIAMBRES;;;;;;;;;
228;MORTADELA S/A;;;AA003;-003-FIAMBRES;;;;;;;;;
4000001;MUSLOS DE POLLO;;;AAAA9;-9-AVES;;;;;;;;;
114;OREJA CERDO;;;AA007;-007-DESPIECE FRESCO;;;;;;;;;
00014;OREJA DE TERNERA A LA GALLEGA;;;AA008;-008-PRECOCINADOS;;;;;;;;;
00001;OREJAS CERDO 1/2 BANDEJA;;;AA004;-004-VARIOS;;;;;;;;;
018;PALETA BELLOTA IBERICO ETIQUETA NEGRA 100 %;;;AA006;-006-JAMONES;;;;;;;;;
017;PALETA BELLOTA IBERICO ETIQUETA ROJA;;;AA006;-006-JAMONES;;;;;;;;;
0172;PALETA CEBO IBERICO;;;AA006;-006-JAMONES;;;;;;;;;
2034;PALETA COCIDA 1ª CUMBRE;;;AA003;-003-FIAMBRES;;;;;;;;;
600;PALETA DUROC ESPECIAL;;;AA006;-006-JAMONES;;;;;;;;;
0241;PALETA FRESCA;;;AA006;-006-JAMONES;;;;;;;;;
209;PALETA HORNO CAMPOFRIO;;;AA003;-003-FIAMBRES;;;;;;;;;
016;PALETA SERRANA;;;AA006;-006-JAMONES;;;;;;;;;
0171;PALETA SERRANA LA PEPONA;;;AA006;-006-JAMONES;;;;;;;;;
244;PAN/BOCATA;;;AA004;-004-VARIOS;;;;;;;;;
030;PANCETA CASERA;;;AA002;-002-EMBUTIDOS;;;;;;;;;
0311;PANCETA CASERA BLANCA;;;AA002;-002-EMBUTIDOS;;;;;;;;;
0301;PANCETA FRESCA;;;AA007;-007-DESPIECE FRESCO;;;;;;;;;
03011;PANCETA IBERICA;;;AA002;-002-EMBUTIDOS;;;;;;;;;
104;PAPADAS;;;AA002;-002-EMBUTIDOS;;;;;;;;;
2351;PAPEL PARAFINADO GRANDE;;;AA004;-004-VARIOS;;;;;;;;;
2352;PAPEL PARAFINADO PEQUEÑO;;;AA004;-004-VARIOS;;;;;;;;;
10005;PASTILLA DE TURRON DE CHOCOLATE CRUJIENTE 200 GRS TRAPA;;;AA004;-004-VARIOS;;;;;;;;;
10004;PASTILLA DE TURRON JIJONA CALIDAD SUPREMA 150 GRS LA FAMA;;;AA004;-004-VARIOS;;;;;;;;;
0272;PATA DE TERNERA;;;AA007;-007-DESPIECE FRESCO;;;;;;;;;
00013;PATA GUISADA;;;AA008;-008-PRECOCINADOS;;;;;;;;;
02049;PATAS DE TERNERA DESHUESADAS;;;AA007;-007-DESPIECE FRESCO;;;;;;;;;
0271;PATAS SIN LIMPIAR(PIE DE CERDO);;;AA007;-007-DESPIECE FRESCO;;;;;;;;;
21;PECHUGA DE PAVO;;;AA003;-003-FIAMBRES;;;;;;;;;
10001;PECHUGA PAVO -SAL PAVOFRIO;;;AA004;-004-VARIOS;;;;;;;;;
2041;PECHUGA PAVO SANISSIMO;;;AA003;-003-FIAMBRES;;;;;;;;;
111;PECHUGA POLLO C/H;;;AAAA9;-9-AVES;;;;;;;;;
112;PECHUGA POLLO S/H;;;AAAA9;-9-AVES;;;;;;;;;
204;PECHUGAS DE  PAVO FRESCAS;;;AAAA9;-9-AVES;;;;;;;;;
213;PIES CERDO FRESCOS;;;AA007;-007-DESPIECE FRESCO;;;;;;;;;
243;PIMENTON GRANEL;;;AA004;-004-VARIOS;;;;;;;;;
1;PINCHOS MORUNOS VARIADOS;;;AA004;-004-VARIOS;;;;;;;;;
136;PLUMA IBERICA;;;AA004;-004-VARIOS;;;;;;;;;
1000000;POLLO EVISCERADO;;;AAAA9;-9-AVES;;;;;;;;;
217;POLLO TRUFADO;;;AA003;-003-FIAMBRES;;;;;;;;;
139;PRESA IBERICA;;;AA004;-004-VARIOS;;;;;;;;;
11111;QUESITOS EN PORCIONES;;;AA005;-005-QUESOS;;;;;;;;;
0343;QUESO BARRA;;;AA005;-005-QUESOS;;;;;;;;;
1110;QUESO CABRA;;;AA005;-005-QUESOS;;;;;;;;;
344;QUESO FRESCO;;;AA005;-005-QUESOS;;;;;;;;;
032;QUESO MEZCLA CURADO;;;AA005;-005-QUESOS;;;;;;;;;
031;QUESO MEZCLA SEMI;;;AA005;-005-QUESOS;;;;;;;;;
0322;QUESO MINI MEZCLA;;;AA005;-005-QUESOS;;;;;;;;;
0342;QUESO OVEJA ACEITE T.PEQUE;;;AA005;-005-QUESOS;;;;;;;;;
0323;QUESO OVEJA AÑEJO;;;AA005;-005-QUESOS;;;;;;;;;
0035;QUESO OVEJA AÑEJO BALLESTEROS;;;AA005;-005-QUESOS;;;;;;;;;
0321;QUESO OVEJA AÑEJO SANSUEÑA;;;AA005;-005-QUESOS;;;;;;;;;
034;QUESO OVEJA CURADO;;;AA005;-005-QUESOS;;;;;;;;;
033;QUESO OVEJA M/C BALLESTEROS;;;AA005;-005-QUESOS;;;;;;;;;
0331;QUESO OVEJA TIERNO;;;AA005;-005-QUESOS;;;;;;;;;
342;QUESO OVEJA VIEJO;;;AA005;-005-QUESOS;;;;;;;;;
341;QUESO OVEJA VIEJO BALLESTEROS;;;AA005;-005-QUESOS;;;;;;;;;
1111;QUESO RALLADO;;;AA005;-005-QUESOS;;;;;;;;;
110;QUESO SANDWICH;;;AA003;-003-FIAMBRES;;;;;;;;;
140;RABO DE TORO;;;AA004;-004-VARIOS;;;;;;;;;
116;RABOS COCIDOS;;;AA008;-008-PRECOCINADOS;;;;;;;;;
118;RIÑONES FRESCOS;;;AA007;-007-DESPIECE FRESCO;;;;;;;;;
251;ROLLOS PAPEL BALANZAS;;;AA004;-004-VARIOS;;;;;;;;;
147;S.C.RESERVA 2006 (6B);;;AA004;-004-VARIOS;;;;;;;;;
145;S.C.ROSADO 2011 (12B);;;AA004;-004-VARIOS;;;;;;;;;
146;S.C.TINTO SELECCION 2010 (12B);;;AA004;-004-VARIOS;;;;;;;;;
156;SAL GORDA;;;AA004;-004-VARIOS;;;;;;;;;
230;SALAMI CAMPOFRIO;;;AA003;-003-FIAMBRES;;;;;;;;;
214;SALCHICHAS R/B FRESCAS;;;AA004;-004-VARIOS;;;;;;;;;
